prompt,path,temp,kl
1,knowledge/01.txt,0.5100,0.067629
1,knowledge/01.txt,0.5200,0.065648
1,knowledge/01.txt,0.5300,0.063838
1,knowledge/01.txt,0.5400,0.062191
1,knowledge/01.txt,0.5500,0.060699
1,knowledge/01.txt,0.5600,0.059354
1,knowledge/01.txt,0.5700,0.058149
1,knowledge/01.txt,0.5800,0.057078
1,knowledge/01.txt,0.5900,0.056135
1,knowledge/01.txt,0.6000,0.055313
1,knowledge/01.txt,0.6100,0.054608
1,knowledge/01.txt,0.6200,0.054015
1,knowledge/01.txt,0.6300,0.053530
1,knowledge/01.txt,0.6400,0.053147
1,knowledge/01.txt,0.6500,0.052862
1,knowledge/01.txt,0.6600,0.052673
1,knowledge/01.txt,0.6700,0.052576
1,knowledge/01.txt,0.6800,0.052567
1,knowledge/01.txt,0.6900,0.052643
1,knowledge/01.txt,0.7000,0.052801
1,knowledge/01.txt,0.7100,0.053039
1,knowledge/01.txt,0.7200,0.053354
1,knowledge/01.txt,0.7300,0.053744
1,knowledge/01.txt,0.7400,0.054207
1,knowledge/01.txt,0.7500,0.054740
1,knowledge/01.txt,0.7600,0.055341
1,knowledge/01.txt,0.7700,0.056009
1,knowledge/01.txt,0.7800,0.056743
1,knowledge/01.txt,0.7900,0.057540
1,knowledge/01.txt,0.8000,0.058399
1,knowledge/01.txt,0.8100,0.059319
1,knowledge/01.txt,0.8200,0.060298
1,knowledge/01.txt,0.8300,0.061336
1,knowledge/01.txt,0.8400,0.062430
1,knowledge/01.txt,0.8500,0.063582
1,knowledge/01.txt,0.8600,0.064788
1,knowledge/01.txt,0.8700,0.066050
1,knowledge/01.txt,0.8800,0.067365
1,knowledge/01.txt,0.8900,0.068733
1,knowledge/01.txt,0.9000,0.070155
2,knowledge/02.txt,0.5100,0.078237
2,knowledge/02.txt,0.5200,0.075972
2,knowledge/02.txt,0.5300,0.073890
2,knowledge/02.txt,0.5400,0.071980
2,knowledge/02.txt,0.5500,0.070235
2,knowledge/02.txt,0.5600,0.068645
2,knowledge/02.txt,0.5700,0.067204
2,knowledge/02.txt,0.5800,0.065905
2,knowledge/02.txt,0.5900,0.064740
2,knowledge/02.txt,0.6000,0.063703
2,knowledge/02.txt,0.6100,0.062790
2,knowledge/02.txt,0.6200,0.061993
2,knowledge/02.txt,0.6300,0.061310
2,knowledge/02.txt,0.6400,0.060734
2,knowledge/02.txt,0.6500,0.060262
2,knowledge/02.txt,0.6600,0.059890
2,knowledge/02.txt,0.6700,0.059613
2,knowledge/02.txt,0.6800,0.059428
2,knowledge/02.txt,0.6900,0.059332
2,knowledge/02.txt,0.7000,0.059322
2,knowledge/02.txt,0.7100,0.059394
2,knowledge/02.txt,0.7200,0.059546
2,knowledge/02.txt,0.7300,0.059776
2,knowledge/02.txt,0.7400,0.060081
2,knowledge/02.txt,0.7500,0.060458
2,knowledge/02.txt,0.7600,0.060906
2,knowledge/02.txt,0.7700,0.061423
2,knowledge/02.txt,0.7800,0.062006
2,knowledge/02.txt,0.7900,0.062655
2,knowledge/02.txt,0.8000,0.063367
2,knowledge/02.txt,0.8100,0.064141
2,knowledge/02.txt,0.8200,0.064975
2,knowledge/02.txt,0.8300,0.065869
2,knowledge/02.txt,0.8400,0.066820
2,knowledge/02.txt,0.8500,0.067829
2,knowledge/02.txt,0.8600,0.068893
2,knowledge/02.txt,0.8700,0.070012
2,knowledge/02.txt,0.8800,0.071186
2,knowledge/02.txt,0.8900,0.072412
2,knowledge/02.txt,0.9000,0.073691
3,knowledge/03.txt,0.5100,0.060527
3,knowledge/03.txt,0.5200,0.058723
3,knowledge/03.txt,0.5300,0.057074
3,knowledge/03.txt,0.5400,0.055572
3,knowledge/03.txt,0.5500,0.054208
3,knowledge/03.txt,0.5600,0.052977
3,knowledge/03.txt,0.5700,0.051872
3,knowledge/03.txt,0.5800,0.050887
3,knowledge/03.txt,0.5900,0.050015
3,knowledge/03.txt,0.6000,0.049253
3,knowledge/03.txt,0.6100,0.048595
3,knowledge/03.txt,0.6200,0.048036
3,knowledge/03.txt,0.6300,0.047573
3,knowledge/03.txt,0.6400,0.047201
3,knowledge/03.txt,0.6500,0.046916
3,knowledge/03.txt,0.6600,0.046716
3,knowledge/03.txt,0.6700,0.046597
3,knowledge/03.txt,0.6800,0.046555
3,knowledge/03.txt,0.6900,0.046588
3,knowledge/03.txt,0.7000,0.046694
3,knowledge/03.txt,0.7100,0.046869
3,knowledge/03.txt,0.7200,0.047112
3,knowledge/03.txt,0.7300,0.047420
3,knowledge/03.txt,0.7400,0.047791
3,knowledge/03.txt,0.7500,0.048223
3,knowledge/03.txt,0.7600,0.048714
3,knowledge/03.txt,0.7700,0.049262
3,knowledge/03.txt,0.7800,0.049866
3,knowledge/03.txt,0.7900,0.050525
3,knowledge/03.txt,0.8000,0.051237
3,knowledge/03.txt,0.8100,0.052000
3,knowledge/03.txt,0.8200,0.052813
3,knowledge/03.txt,0.8300,0.053675
3,knowledge/03.txt,0.8400,0.054586
3,knowledge/03.txt,0.8500,0.055543
3,knowledge/03.txt,0.8600,0.056546
3,knowledge/03.txt,0.8700,0.057595
3,knowledge/03.txt,0.8800,0.058688
3,knowledge/03.txt,0.8900,0.059825
3,knowledge/03.txt,0.9000,0.061004
4,knowledge/04.txt,0.5100,0.068452
4,knowledge/04.txt,0.5200,0.066521
4,knowledge/04.txt,0.5300,0.064744
4,knowledge/04.txt,0.5400,0.063114
4,knowledge/04.txt,0.5500,0.061623
4,knowledge/04.txt,0.5600,0.060263
4,knowledge/04.txt,0.5700,0.059030
4,knowledge/04.txt,0.5800,0.057915
