prompt,path,bucket,kl_contribution,prob_ref,prob_target,prob_shift
1,knowledge/01.txt,top1,0.012901,0.8465,0.8386,-0.0079
1,knowledge/01.txt,top2_10,0.010159,0.1438,0.1510,+0.0072
1,knowledge/01.txt,top11_100,0.000876,0.0091,0.0098,+0.0007
1,knowledge/01.txt,tail,0.000052,0.0006,0.0006,+0.0000
2,knowledge/02.txt,top1,0.017505,0.7947,0.7825,-0.0122
2,knowledge/02.txt,top2_10,0.007441,0.1932,0.2045,+0.0113
2,knowledge/02.txt,top11_100,0.000981,0.0115,0.0123,+0.0008
2,knowledge/02.txt,tail,0.000024,0.0006,0.0007,+0.0000
3,knowledge/03.txt,top1,0.012822,0.8045,0.7996,-0.0049
3,knowledge/03.txt,top2_10,0.022827,0.1861,0.1902,+0.0041
3,knowledge/03.txt,top11_100,0.001116,0.0090,0.0099,+0.0008
3,knowledge/03.txt,tail,0.000007,0.0003,0.0004,+0.0000
4,knowledge/04.txt,top1,0.024199,0.8296,0.8139,-0.0157
4,knowledge/04.txt,top2_10,0.011453,0.1653,0.1799,+0.0146
4,knowledge/04.txt,top11_100,0.000283,0.0049,0.0061,+0.0011
4,knowledge/04.txt,tail,0.000004,0.0001,0.0001,+0.0000
5,knowledge/05.txt,top1,0.014462,0.8398,0.8308,-0.0090
5,knowledge/05.txt,top2_10,0.009439,0.1497,0.1581,+0.0084
5,knowledge/05.txt,top11_100,0.001245,0.0100,0.0106,+0.0006
5,knowledge/05.txt,tail,0.000080,0.0006,0.0006,+0.0000
6,knowledge/06.txt,top1,0.021746,0.8559,0.8432,-0.0127
6,knowledge/06.txt,top2_10,0.014077,0.1399,0.1519,+0.0119
6,knowledge/06.txt,top11_100,0.000365,0.0041,0.0049,+0.0008
6,knowledge/06.txt,tail,0.000006,0.0001,0.0001,+0.0000
7,knowledge/07.txt,top1,0.016910,0.8165,0.8062,-0.0104
7,knowledge/07.txt,top2_10,0.011213,0.1668,0.1748,+0.0080
7,knowledge/07.txt,top11_100,0.000623,0.0159,0.0180,+0.0022
7,knowledge/07.txt,tail,-0.000022,0.0009,0.0010,+0.0002
8,knowledge/08.txt,top1,0.032171,0.8437,0.8249,-0.0188
8,knowledge/08.txt,top2_10,0.017156,0.1523,0.1699,+0.0176
8,knowledge/08.txt,top11_100,0.000506,0.0039,0.0051,+0.0011
8,knowledge/08.txt,tail,0.000011,0.0001,0.0001,+0.0000
9,knowledge/09.txt,top1,0.008583,0.8566,0.8513,-0.0052
9,knowledge/09.txt,top2_10,0.007111,0.1363,0.1408,+0.0045
9,knowledge/09.txt,top11_100,0.000261,0.0067,0.0074,+0.0007
9,knowledge/09.txt,tail,0.000012,0.0005,0.0005,+0.0000
10,knowledge/10.txt,top1,0.011067,0.8577,0.8517,-0.0060
10,knowledge/10.txt,top2_10,0.010946,0.1340,0.1390,+0.0050
10,knowledge/10.txt,top11_100,0.000544,0.0079,0.0089,+0.0010
10,knowledge/10.txt,tail,-0.000001,0.0004,0.0004,+0.0000
11,math/01.txt,top1,0.008719,0.8929,0.8879,-0.0050
11,math/01.txt,top2_10,0.005866,0.1034,0.1081,+0.0046
11,math/01.txt,top11_100,0.000239,0.0035,0.0039,+0.0004
11,math/01.txt,tail,0.000010,0.0002,0.0002,+0.0000
12,math/02.txt,top1,0.009085,0.9380,0.9316,-0.0064
12,math/02.txt,top2_10,0.004015,0.0610,0.0673,+0.0063
12,math/02.txt,top11_100,0.000057,0.0010,0.0011,+0.0001
12,math/02.txt,tail,0.000005,0.0001,0.0000,-0.0000
13,math/03.txt,top1,0.013039,0.9067,0.8984,-0.0083
13,math/03.txt,top2_10,0.005771,0.0915,0.0994,+0.0079
13,math/03.txt,top11_100,0.000077,0.0017,0.0020,+0.0003
13,math/03.txt,tail,0.000001,0.0001,0.0001,+0.0000
14,math/04.txt,top1,0.016892,0.8578,0.8485,-0.0094
14,math/04.txt,top2_10,0.008563,0.1387,0.1476,+0.0089
14,math/04.txt,top11_100,0.000394,0.0033,0.0039,+0.0005
14,math/04.txt,tail,0.000017,0.0001,0.0001,-0.0000
15,math/05.txt,top1,0.011456,0.9273,0.9197,-0.0076
15,math/05.txt,top2_10,0.002514,0.0713,0.0788,+0.0075
15,math/05.txt,top11_100,0.000152,0.0013,0.0014,+0.0001
15,math/05.txt,tail,0.000007,0.0001,0.0001,-0.0000
16,math/06.txt,top1,0.018245,0.8857,0.8742,-0.0115
16,math/06.txt,top2_10,0.009161,0.1117,0.1226,+0.0109
16,math/06.txt,top11_100,0.000210,0.0025,0.0030,+0.0005
16,math/06.txt,tail,0.000004,0.0002,0.0002,+0.0000
17,math/07.txt,top1,0.020548,0.8576,0.8432,-0.0144
17,math/07.txt,top2_10,0.004701,0.1388,0.1526,+0.0138
17,math/07.txt,top11_100,0.000257,0.0035,0.0041,+0.0006
17,math/07.txt,tail,0.000007,0.0001,0.0001,+0.0000
18,math/08.txt,top1,0.009507,0.9252,0.9196,-0.0057
18,math/08.txt,top2_10,0.006035,0.0729,0.0783,+0.0054
18,math/08.txt,top11_100,0.000208,0.0018,0.0020,+0.0003
18,math/08.txt,tail,0.000004,0.0000,0.0000,+0.0000
19,math/09.txt,top1,0.013037,0.8980,0.8893,-0.0086
19,math/09.txt,top2_10,0.006248,0.1003,0.1086,+0.0083
19,math/09.txt,top11_100,0.000130,0.0017,0.0020,+0.0003
19,math/09.txt,tail,0.000008,0.0001,0.0001,-0.0000
20,math/10.txt,top1,0.022578,0.8659,0.8521,-0.0139
20,math/10.txt,top2_10,0.011495,0.1305,0.1437,+0.0133
20,math/10.txt,top11_100,0.000378,0.0035,0.0041,+0.0006
20,math/10.txt,tail,0.000007,0.0001,0.0001,+0.0000
21,swe/01.txt,top1,0.012477,0.9268,0.9194,-0.0075
21,swe/01.txt,top2_10,0.002884,0.0717,0.0791,+0.0074
21,swe/01.txt,top11_100,0.000097,0.0014,0.0014,+0.0001
21,swe/01.txt,tail,-0.000002,0.0001,0.0001,+0.0000
22,swe/02.txt,top1,0.013287,0.9238,0.9141,-0.0098
22,swe/02.txt,top2_10,0.000398,0.0736,0.0830,+0.0094
22,swe/02.txt,top11_100,0.000023,0.0024,0.0027,+0.0003
22,swe/02.txt,tail,-0.000028,0.0002,0.0002,+0.0000
23,swe/03.txt,top1,0.007733,0.8269,0.8231,-0.0039
23,swe/03.txt,top2_10,0.010414,0.1699,0.1735,+0.0036
23,swe/03.txt,top11_100,0.000303,0.0031,0.0034,+0.0003
23,swe/03.txt,tail,0.000002,0.0001,0.0001,+0.0000
24,swe/04.txt,top1,0.011721,0.8911,0.8829,-0.0081
24,swe/04.txt,top2_10,0.004748,0.1059,0.1136,+0.0077
24,swe/04.txt,top11_100,0.000118,0.0029,0.0033,+0.0004
24,swe/04.txt,tail,-0.000006,0.0001,0.0002,+0.0000
25,swe/05.txt,top1,0.007811,0.8246,0.8206,-0.0040
25,swe/05.txt,top2_10,0.011421,0.1693,0.1728,+0.0035
25,swe/05.txt,top11_100,0.000513,0.0060,0.0065,+0.0005
25,swe/05.txt,tail,0.000010,0.0001,0.0001,+0.0000
26,swe/06.txt,top1,0.012118,0.9006,0.8929,-0.0077
26,swe/06.txt,top2_10,0.003696,0.0957,0.1032,+0.0076
26,swe/06.txt,top11_100,0.000411,0.0036,0.0038,+0.0002
26,swe/06.txt,tail,0.000002,0.0001,0.0002,+0.0000
27,swe/07.txt,top1,0.010935,0.9126,0.9048,-0.0078
27,swe/07.txt,top2_10,0.002375,0.0854,0.0930,+0.0076
27,swe/07.txt,top11_100,0.000061,0.0019,0.0021,+0.0002
27,swe/07.txt,tail,0.000003,0.0001,0.0001,+0.0000
28,swe/08.txt,top1,0.012247,0.8180,0.8111,-0.0069
28,swe/08.txt,top2_10,0.010093,0.1771,0.1836,+0.0065
28,swe/08.txt,top11_100,0.000328,0.0047,0.0051,+0.0004
28,swe/08.txt,tail,-0.000009,0.0001,0.0002,+0.0000
29,swe/09.txt,top1,0.013595,0.9032,0.8936,-0.0096
