# n_all=31921 n_agree=22689 n_disagree=9232
temp,rank,group,prob_ref,prob_target
0.3100,1,all,0.87001475,0.89988786
0.3100,1,agree,0.93309104,0.95014620
0.3100,1,disagree,0.71499550,0.77637057
0.3100,2,all,0.07771564,0.07252588
0.3100,2,agree,0.04499662,0.03966593
0.3100,2,disagree,0.15812743,0.15328403
0.3100,3,all,0.02295948,0.01622367
0.3100,3,agree,0.01054157,0.00650356
0.3100,3,disagree,0.05347832,0.04011225
0.3100,4,all,0.01009118,0.00566202
0.3100,4,agree,0.00416927,0.00199342
0.3100,4,disagree,0.02464515,0.01467813
0.3100,5,all,0.00547331,0.00245745
0.3100,5,agree,0.00215808,0.00078417
0.3100,5,disagree,0.01362097,0.00656978
0.3100,6,all,0.00330148,0.00124972
0.3100,6,agree,0.00126493,0.00037141
0.3100,6,disagree,0.00830663,0.00340830
0.3100,7,all,0.00215383,0.00069034
0.3100,7,agree,0.00081353,0.00019944
0.3100,7,disagree,0.00544784,0.00189681
0.3100,8,all,0.00149633,0.00039935
0.3100,8,agree,0.00055840,0.00010557
0.3100,8,disagree,0.00380142,0.00112136
0.3100,9,all,0.00108268,0.00025142
0.3100,9,agree,0.00039713,0.00006348
0.3100,9,disagree,0.00276753,0.00071331
0.3100,10,all,0.00081222,0.00016293
0.3100,10,agree,0.00029432,0.00004038
0.3100,10,disagree,0.00208504,0.00046410
0.3100,11,all,0.00063057,0.00011143
0.3100,11,agree,0.00022700,0.00002781
0.3100,11,disagree,0.00162239,0.00031693
0.3100,12,all,0.00050501,0.00007953
0.3100,12,agree,0.00017821,0.00002032
0.3100,12,disagree,0.00130816,0.00022505
0.3100,13,all,0.00041449,0.00005912
0.3100,13,agree,0.00014522,0.00001510
0.3100,13,disagree,0.00107626,0.00016732
0.3100,14,all,0.00034510,0.00004479
0.3100,14,agree,0.00011914,0.00001168
0.3100,14,disagree,0.00090044,0.00012615
0.3100,15,all,0.00028788,0.00003360
0.3100,15,agree,0.00009856,0.00000904
0.3100,15,disagree,0.00075316,0.00009394
0.3100,16,all,0.00024475,0.00002594
0.3100,16,agree,0.00008270,0.00000700
0.3100,16,disagree,0.00064299,0.00007250
0.3100,17,all,0.00020840,0.00002030
0.3100,17,agree,0.00007039,0.00000537
0.3100,17,disagree,0.00054759,0.00005698
0.3100,18,all,0.00017991,0.00001619
0.3100,18,agree,0.00006040,0.00000423
0.3100,18,disagree,0.00047363,0.00004561
0.3100,19,all,0.00015600,0.00001322
0.3100,19,agree,0.00005234,0.00000340
0.3100,19,disagree,0.00041077,0.00003736
0.3100,20,all,0.00013504,0.00001079
0.3100,20,agree,0.00004574,0.00000273
0.3100,20,disagree,0.00035451,0.00003061
0.3100,21,all,0.00011912,0.00000916
0.3100,21,agree,0.00004037,0.00000228
0.3100,21,disagree,0.00031264,0.00002607
0.3100,22,all,0.00010641,0.00000773
0.3100,22,agree,0.00003593,0.00000193
0.3100,22,disagree,0.00027963,0.00002197
0.3100,23,all,0.00009563,0.00000646
0.3100,23,agree,0.00003224,0.00000162
0.3100,23,disagree,0.00025142,0.00001836
0.3100,24,all,0.00008573,0.00000553
0.3100,24,agree,0.00002899,0.00000139
0.3100,24,disagree,0.00022518,0.00001571
0.3100,25,all,0.00007720,0.00000470
0.3100,25,agree,0.00002619,0.00000119
0.3100,25,disagree,0.00020255,0.00001331
0.3100,26,all,0.00007007,0.00000403
0.3100,26,agree,0.00002391,0.00000103
0.3100,26,disagree,0.00018351,0.00001140
0.3100,27,all,0.00006402,0.00000354
0.3100,27,agree,0.00002170,0.00000092
0.3100,27,disagree,0.00016801,0.00000998
0.3100,28,all,0.00005813,0.00000308
0.3100,28,agree,0.00001989,0.00000082
0.3100,28,disagree,0.00015211,0.00000864
0.3100,29,all,0.00005314,0.00000269
0.3100,29,agree,0.00001833,0.00000070
0.3100,29,disagree,0.00013868,0.00000758
0.3100,30,all,0.00004887,0.00000238
0.3100,30,agree,0.00001686,0.00000062
0.3100,30,disagree,0.00012752,0.00000672
0.3100,31,all,0.00004497,0.00000211
0.3100,31,agree,0.00001555,0.00000055
0.3100,31,disagree,0.00011727,0.00000595
0.3100,32,all,0.00004154,0.00000189
0.3100,32,agree,0.00001436,0.00000049
0.3100,32,disagree,0.00010833,0.00000532
0.3100,33,all,0.00003851,0.00000166
0.3100,33,agree,0.00001322,0.00000043
0.3100,33,disagree,0.00010066,0.00000470
0.3100,34,all,0.00003534,0.00000150
0.3100,34,agree,0.00001226,0.00000039
0.3100,34,disagree,0.00009207,0.00000422
0.3100,35,all,0.00003291,0.00000135
0.3100,35,agree,0.00001138,0.00000036
0.3100,35,disagree,0.00008582,0.00000377
0.3100,36,all,0.00003077,0.00000121
0.3100,36,agree,0.00001062,0.00000033
0.3100,36,disagree,0.00008028,0.00000340
0.3100,37,all,0.00002886,0.00000109
0.3100,37,agree,0.00000992,0.00000029
0.3100,37,disagree,0.00007540,0.00000307
0.3100,38,all,0.00002708,0.00000099
0.3100,38,agree,0.00000928,0.00000026
0.3100,38,disagree,0.00007083,0.00000279
0.3100,39,all,0.00002553,0.00000091
0.3100,39,agree,0.00000869,0.00000024
0.3100,39,disagree,0.00006693,0.00000254
0.3100,40,all,0.00002393,0.00000082
0.3100,40,agree,0.00000814,0.00000022
0.3100,40,disagree,0.00006273,0.00000229
0.3200,1,all,0.87001475,0.89661323
0.3200,1,agree,0.93309104,0.94821911
0.3200,1,disagree,0.71499550,0.76978417
0.3200,2,all,0.07771564,0.07414118
0.3200,2,agree,0.04499662,0.04085937
0.3200,2,disagree,0.15812743,0.15593612
0.3200,3,all,0.02295948,0.01694190
0.3200,3,agree,0.01054157,0.00687913
0.3200,3,disagree,0.05347832,0.04167263
0.3200,4,all,0.01009118,0.00602005
0.3200,4,agree,0.00416927,0.00214910
0.3200,4,disagree,0.02464515,0.01553349
0.3200,5,all,0.00547331,0.00265395
0.3200,5,agree,0.00215808,0.00086029
0.3200,5,disagree,0.01362097,0.00706213
0.3200,6,all,0.00330148,0.00136606
0.3200,6,agree,0.00126493,0.00041336
0.3200,6,disagree,0.00830663,0.00370745
0.3200,7,all,0.00215383,0.00076456
0.3200,7,agree,0.00081353,0.00022503
0.3200,7,disagree,0.00544784,0.00209053
0.3200,8,all,0.00149633,0.00044785
0.3200,8,agree,0.00055840,0.00012115
0.3200,8,disagree,0.00380142,0.00125075
0.3200,9,all,0.00108268,0.00028476
0.3200,9,agree,0.00039713,0.00007362
0.3200,9,disagree,0.00276753,0.00080365
0.3200,10,all,0.00081222,0.00018640
0.3200,10,agree,0.00029432,0.00004732
0.3200,10,disagree,0.00208504,0.00052822
0.3200,11,all,0.00063057,0.00012855
0.3200,11,agree,0.00022700,0.00003280
0.3200,11,disagree,0.00162239,0.00036385
0.3200,12,all,0.00050501,0.00009247
0.3200,12,agree,0.00017821,0.00002408
0.3200,12,disagree,0.00130816,0.00026055
0.3200,13,all,0.00041449,0.00006912
0.3200,13,agree,0.00014522,0.00001797
0.3200,13,disagree,0.00107626,0.00019484
0.3200,14,all,0.00034510,0.00005268
0.3200,14,agree,0.00011914,0.00001396
0.3200,14,disagree,0.00090044,0.00014785
0.3200,15,all,0.00028788,0.00003979
0.3200,15,agree,0.00009856,0.00001085
0.3200,15,disagree,0.00075316,0.00011092
0.3200,16,all,0.00024475,0.00003093
0.3200,16,agree,0.00008270,0.00000845
0.3200,16,disagree,0.00064299,0.00008618
0.3200,17,all,0.00020840,0.00002432
0.3200,17,agree,0.00007039,0.00000653
0.3200,17,disagree,0.00054759,0.00006806
0.3200,18,all,0.00017991,0.00001951
0.3200,18,agree,0.00006040,0.00000517
0.3200,18,disagree,0.00047363,0.00005476
0.3200,19,all,0.00015600,0.00001599
0.3200,19,agree,0.00005234,0.00000418
0.3200,19,disagree,0.00041077,0.00004502
0.3200,20,all,0.00013504,0.00001311
0.3200,20,agree,0.00004574,0.00000337
0.3200,20,disagree,0.00035451,0.00003706
0.3200,21,all,0.00011912,0.00001116
0.3200,21,agree,0.00004037,0.00000282
0.3200,21,disagree,0.00031264,0.00003165
0.3200,22,all,0.00010641,0.00000946
0.3200,22,agree,0.00003593,0.00000240
0.3200,22,disagree,0.00027963,0.00002679
0.3200,23,all,0.00009563,0.00000795
0.3200,23,agree,0.00003224,0.00000202
0.3200,23,disagree,0.00025142,0.00002251
0.3200,24,all,0.00008573,0.00000682
0.3200,24,agree,0.00002899,0.00000174
0.3200,24,disagree,0.00022518,0.00001931
0.3200,25,all,0.00007720,0.00000581
0.3200,25,agree,0.00002619,0.00000150
0.3200,25,disagree,0.00020255,0.00001642
0.3200,26,all,0.00007007,0.00000501
0.3200,26,agree,0.00002391,0.00000130
0.3200,26,disagree,0.00018351,0.00001412
0.3200,27,all,0.00006402,0.00000441
0.3200,27,agree,0.00002170,0.00000116
0.3200,27,disagree,0.00016801,0.00001239
0.3200,28,all,0.00005813,0.00000385
0.3200,28,agree,0.00001989,0.00000103
0.3200,28,disagree,0.00015211,0.00001078
0.3200,29,all,0.00005314,0.00000337
0.3200,29,agree,0.00001833,0.00000089
0.3200,29,disagree,0.00013868,0.00000948
0.3200,30,all,0.00004887,0.00000299
0.3200,30,agree,0.00001686,0.00000079
0.3200,30,disagree,0.00012752,0.00000842
0.3200,31,all,0.00004497,0.00000266
0.3200,31,agree,0.00001555,0.00000069
0.3200,31,disagree,0.00011727,0.00000749
0.3200,32,all,0.00004154,0.00000238
0.3200,32,agree,0.00001436,0.00000062
0.3200,32,disagree,0.00010833,0.00000671
0.3200,33,all,0.00003851,0.00000211
0.3200,33,agree,0.00001322,0.00000055
0.3200,33,disagree,0.00010066,0.00000595
0.3200,34,all,0.00003534,0.00000191
0.3200,34,agree,0.00001226,0.00000051
0.3200,34,disagree,0.00009207,0.00000535
0.3200,35,all,0.00003291,0.00000172
0.3200,35,agree,0.00001138,0.00000046
0.3200,35,disagree,0.00008582,0.00000480
0.3200,36,all,0.00003077,0.00000155
0.3200,36,agree,0.00001062,0.00000042
0.3200,36,disagree,0.00008028,0.00000433
0.3200,37,all,0.00002886,0.00000140
0.3200,37,agree,0.00000992,0.00000037
0.3200,37,disagree,0.00007540,0.00000392
0.3200,38,all,0.00002708,0.00000128
0.3200,38,agree,0.00000928,0.00000034
0.3200,38,disagree,0.00007083,0.00000357
0.3200,39,all,0.00002553,0.00000116
0.3200,39,agree,0.00000869,0.00000031
0.3200,39,disagree,0.00006693,0.00000326
0.3200,40,all,0.00002393,0.00000106
0.3200,40,agree,0.00000814,0.00000029
0.3200,40,disagree,0.00006273,0.00000295
0.3300,1,all,0.87001475,0.89333286
0.3300,1,agree,0.93309104,0.94626937
0.3300,1,disagree,0.71499550,0.76323358
0.3300,2,all,0.07771564,0.07572053
0.3300,2,agree,0.04499662,0.04204585
0.3300,2,disagree,0.15812743,0.15848101
0.3300,3,all,0.02295948,0.01766006
0.3300,3,agree,0.01054157,0.00726186
0.3300,3,disagree,0.05347832,0.04321517
0.3300,4,all,0.01009118,0.00638411
0.3300,4,agree,0.00416927,0.00231067
0.3300,4,disagree,0.02464515,0.01639521
0.3300,5,all,0.00547331,0.00285669
0.3300,5,agree,0.00215808,0.00094059
0.3300,5,disagree,0.01362097,0.00756577
0.3300,6,all,0.00330148,0.00148756
0.3300,6,agree,0.00126493,0.00045820
0.3300,6,disagree,0.00830663,0.00401736
0.3300,7,all,0.00215383,0.00084297
0.3300,7,agree,0.00081353,0.00025267
0.3300,7,disagree,0.00544784,0.00229373
