prompt,path,temp,kl
1,knowledge/01.txt,0.5100,0.153108
1,knowledge/01.txt,0.5200,0.149824
1,knowledge/01.txt,0.5300,0.146763
1,knowledge/01.txt,0.5400,0.143914
1,knowledge/01.txt,0.5500,0.141266
1,knowledge/01.txt,0.5600,0.138808
1,knowledge/01.txt,0.5700,0.136533
1,knowledge/01.txt,0.5800,0.134430
1,knowledge/01.txt,0.5900,0.132491
1,knowledge/01.txt,0.6000,0.130711
1,knowledge/01.txt,0.6100,0.129080
1,knowledge/01.txt,0.6200,0.127594
1,knowledge/01.txt,0.6300,0.126245
1,knowledge/01.txt,0.6400,0.125029
1,knowledge/01.txt,0.6500,0.123939
1,knowledge/01.txt,0.6600,0.122971
1,knowledge/01.txt,0.6700,0.122121
1,knowledge/01.txt,0.6800,0.121383
1,knowledge/01.txt,0.6900,0.120754
1,knowledge/01.txt,0.7000,0.120230
1,knowledge/01.txt,0.7100,0.119807
1,knowledge/01.txt,0.7200,0.119482
1,knowledge/01.txt,0.7300,0.119252
1,knowledge/01.txt,0.7400,0.119114
1,knowledge/01.txt,0.7500,0.119065
1,knowledge/01.txt,0.7600,0.119103
1,knowledge/01.txt,0.7700,0.119224
1,knowledge/01.txt,0.7800,0.119428
1,knowledge/01.txt,0.7900,0.119711
1,knowledge/01.txt,0.8000,0.120072
1,knowledge/01.txt,0.8100,0.120508
1,knowledge/01.txt,0.8200,0.121019
1,knowledge/01.txt,0.8300,0.121602
1,knowledge/01.txt,0.8400,0.122257
1,knowledge/01.txt,0.8500,0.122981
1,knowledge/01.txt,0.8600,0.123774
1,knowledge/01.txt,0.8700,0.124633
1,knowledge/01.txt,0.8800,0.125559
1,knowledge/01.txt,0.8900,0.126551
1,knowledge/01.txt,0.9000,0.127606
2,knowledge/02.txt,0.5100,0.147060
2,knowledge/02.txt,0.5200,0.143558
2,knowledge/02.txt,0.5300,0.140290
2,knowledge/02.txt,0.5400,0.137245
2,knowledge/02.txt,0.5500,0.134411
2,knowledge/02.txt,0.5600,0.131777
2,knowledge/02.txt,0.5700,0.129334
2,knowledge/02.txt,0.5800,0.127073
2,knowledge/02.txt,0.5900,0.124984
2,knowledge/02.txt,0.6000,0.123060
2,knowledge/02.txt,0.6100,0.121293
2,knowledge/02.txt,0.6200,0.119677
2,knowledge/02.txt,0.6300,0.118206
2,knowledge/02.txt,0.6400,0.116872
2,knowledge/02.txt,0.6500,0.115671
2,knowledge/02.txt,0.6600,0.114596
2,knowledge/02.txt,0.6700,0.113644
2,knowledge/02.txt,0.6800,0.112809
2,knowledge/02.txt,0.6900,0.112088
2,knowledge/02.txt,0.7000,0.111475
2,knowledge/02.txt,0.7100,0.110967
2,knowledge/02.txt,0.7200,0.110561
2,knowledge/02.txt,0.7300,0.110253
2,knowledge/02.txt,0.7400,0.110040
2,knowledge/02.txt,0.7500,0.109919
2,knowledge/02.txt,0.7600,0.109887
2,knowledge/02.txt,0.7700,0.109942
2,knowledge/02.txt,0.7800,0.110080
2,knowledge/02.txt,0.7900,0.110301
2,knowledge/02.txt,0.8000,0.110601
2,knowledge/02.txt,0.8100,0.110978
2,knowledge/02.txt,0.8200,0.111431
2,knowledge/02.txt,0.8300,0.111958
2,knowledge/02.txt,0.8400,0.112558
2,knowledge/02.txt,0.8500,0.113228
2,knowledge/02.txt,0.8600,0.113967
2,knowledge/02.txt,0.8700,0.114775
2,knowledge/02.txt,0.8800,0.115649
2,knowledge/02.txt,0.8900,0.116589
2,knowledge/02.txt,0.9000,0.117593
3,knowledge/03.txt,0.5100,0.146649
3,knowledge/03.txt,0.5200,0.143448
3,knowledge/03.txt,0.5300,0.140460
3,knowledge/03.txt,0.5400,0.137675
3,knowledge/03.txt,0.5500,0.135081
3,knowledge/03.txt,0.5600,0.132668
3,knowledge/03.txt,0.5700,0.130428
3,knowledge/03.txt,0.5800,0.128352
3,knowledge/03.txt,0.5900,0.126432
3,knowledge/03.txt,0.6000,0.124661
3,knowledge/03.txt,0.6100,0.123032
3,knowledge/03.txt,0.6200,0.121538
3,knowledge/03.txt,0.6300,0.120174
3,knowledge/03.txt,0.6400,0.118934
3,knowledge/03.txt,0.6500,0.117812
3,knowledge/03.txt,0.6600,0.116805
3,knowledge/03.txt,0.6700,0.115906
3,knowledge/03.txt,0.6800,0.115113
3,knowledge/03.txt,0.6900,0.114421
3,knowledge/03.txt,0.7000,0.113825
3,knowledge/03.txt,0.7100,0.113323
3,knowledge/03.txt,0.7200,0.112912
3,knowledge/03.txt,0.7300,0.112587
3,knowledge/03.txt,0.7400,0.112346
3,knowledge/03.txt,0.7500,0.112187
3,knowledge/03.txt,0.7600,0.112107
3,knowledge/03.txt,0.7700,0.112102
3,knowledge/03.txt,0.7800,0.112172
3,knowledge/03.txt,0.7900,0.112313
3,knowledge/03.txt,0.8000,0.112524
3,knowledge/03.txt,0.8100,0.112803
3,knowledge/03.txt,0.8200,0.113148
3,knowledge/03.txt,0.8300,0.113557
3,knowledge/03.txt,0.8400,0.114029
3,knowledge/03.txt,0.8500,0.114562
3,knowledge/03.txt,0.8600,0.115155
3,knowledge/03.txt,0.8700,0.115806
3,knowledge/03.txt,0.8800,0.116515
3,knowledge/03.txt,0.8900,0.117281
3,knowledge/03.txt,0.9000,0.118101
4,knowledge/04.txt,0.5100,0.125962
4,knowledge/04.txt,0.5200,0.123135
4,knowledge/04.txt,0.5300,0.120499
4,knowledge/04.txt,0.5400,0.118044
4,knowledge/04.txt,0.5500,0.115761
4,knowledge/04.txt,0.5600,0.113641
4,knowledge/04.txt,0.5700,0.111675
4,knowledge/04.txt,0.5800,0.109857
4,knowledge/04.txt,0.5900,0.108180
4,knowledge/04.txt,0.6000,0.106636
4,knowledge/04.txt,0.6100,0.105221
4,knowledge/04.txt,0.6200,0.103927
4,knowledge/04.txt,0.6300,0.102751
4,knowledge/04.txt,0.6400,0.101687
4,knowledge/04.txt,0.6500,0.100730
4,knowledge/04.txt,0.6600,0.099876
4,knowledge/04.txt,0.6700,0.099121
4,knowledge/04.txt,0.6800,0.098462
4,knowledge/04.txt,0.6900,0.097894
4,knowledge/04.txt,0.7000,0.097414
4,knowledge/04.txt,0.7100,0.097020
4,knowledge/04.txt,0.7200,0.096707
4,knowledge/04.txt,0.7300,0.096474
4,knowledge/04.txt,0.7400,0.096318
4,knowledge/04.txt,0.7500,0.096236
4,knowledge/04.txt,0.7600,0.096226
4,knowledge/04.txt,0.7700,0.096286
4,knowledge/04.txt,0.7800,0.096413
4,knowledge/04.txt,0.7900,0.096607
4,knowledge/04.txt,0.8000,0.096864
4,knowledge/04.txt,0.8100,0.097184
4,knowledge/04.txt,0.8200,0.097565
4,knowledge/04.txt,0.8300,0.098005
4,knowledge/04.txt,0.8400,0.098503
4,knowledge/04.txt,0.8500,0.099058
4,knowledge/04.txt,0.8600,0.099668
4,knowledge/04.txt,0.8700,0.100332
4,knowledge/04.txt,0.8800,0.101050
4,knowledge/04.txt,0.8900,0.101820
4,knowledge/04.txt,0.9000,0.102641
5,knowledge/05.txt,0.5100,0.174102
5,knowledge/05.txt,0.5200,0.170241
5,knowledge/05.txt,0.5300,0.166623
5,knowledge/05.txt,0.5400,0.163234
5,knowledge/05.txt,0.5500,0.160063
5,knowledge/05.txt,0.5600,0.157099
5,knowledge/05.txt,0.5700,0.154331
5,knowledge/05.txt,0.5800,0.151751
5,knowledge/05.txt,0.5900,0.149349
5,knowledge/05.txt,0.6000,0.147117
5,knowledge/05.txt,0.6100,0.145047
5,knowledge/05.txt,0.6200,0.143132
5,knowledge/05.txt,0.6300,0.141366
5,knowledge/05.txt,0.6400,0.139742
5,knowledge/05.txt,0.6500,0.138254
5,knowledge/05.txt,0.6600,0.136897
5,knowledge/05.txt,0.6700,0.135666
5,knowledge/05.txt,0.6800,0.134555
5,knowledge/05.txt,0.6900,0.133561
5,knowledge/05.txt,0.7000,0.132679
5,knowledge/05.txt,0.7100,0.131905
5,knowledge/05.txt,0.7200,0.131236
5,knowledge/05.txt,0.7300,0.130667
5,knowledge/05.txt,0.7400,0.130196
5,knowledge/05.txt,0.7500,0.129819
5,knowledge/05.txt,0.7600,0.129534
5,knowledge/05.txt,0.7700,0.129338
5,knowledge/05.txt,0.7800,0.129227
5,knowledge/05.txt,0.7900,0.129201
5,knowledge/05.txt,0.8000,0.129256
5,knowledge/05.txt,0.8100,0.129391
5,knowledge/05.txt,0.8200,0.129603
5,knowledge/05.txt,0.8300,0.129890
5,knowledge/05.txt,0.8400,0.130252
5,knowledge/05.txt,0.8500,0.130685
5,knowledge/05.txt,0.8600,0.131189
5,knowledge/05.txt,0.8700,0.131763
5,knowledge/05.txt,0.8800,0.132404
5,knowledge/05.txt,0.8900,0.133112
5,knowledge/05.txt,0.9000,0.133885
6,knowledge/06.txt,0.5100,0.085588
6,knowledge/06.txt,0.5200,0.083737
6,knowledge/06.txt,0.5300,0.082010
6,knowledge/06.txt,0.5400,0.080398
6,knowledge/06.txt,0.5500,0.078897
6,knowledge/06.txt,0.5600,0.077501
6,knowledge/06.txt,0.5700,0.076204
6,knowledge/06.txt,0.5800,0.075001
6,knowledge/06.txt,0.5900,0.073888
6,knowledge/06.txt,0.6000,0.072862
6,knowledge/06.txt,0.6100,0.071917
6,knowledge/06.txt,0.6200,0.071050
6,knowledge/06.txt,0.6300,0.070259
